seed,participant,semantic_source,repetitions,resamples,top1_mean,top1_sd
43,sub-01,dinov2,2,10,0.055999999999999994,0.020248456731316585
43,sub-01,dinov2,5,10,0.1045,0.013834337312964755
43,sub-01,dinov2,10,10,0.12250000000000001,0.01457737973711325
43,sub-01,dinov2,20,10,0.153,0.01398411797560202
43,sub-01,dinov2,40,10,0.15750000000000003,0.0088975652100261
43,sub-01,dinov2,80,1,0.16,0.0
43,sub-02,cornet-s,1,10,0.028000000000000004,0.014375905768565216
43,sub-02,cornet-s,2,10,0.039,0.014681810363696828
43,sub-02,cornet-s,5,10,0.073,0.017191729277636836
43,sub-02,cornet-s,10,10,0.08549999999999999,0.022292250771163605
43,sub-02,cornet-s,20,10,0.11600000000000002,0.016633299933166205
43,sub-02,cornet-s,40,10,0.1335,0.01841647812874836
43,sub-02,cornet-s,80,1,0.14,0.0
43,sub-02,dinov2,1,10,0.0385,0.015284342024147166
43,sub-02,dinov2,2,10,0.05550000000000001,0.015714466088430887
43,sub-02,dinov2,5,10,0.0905,0.014615440845595835
43,sub-02,dinov2,10,10,0.11349999999999998,0.013550317749451896
43,sub-02,dinov2,20,10,0.1335,0.012258783698955528
43,sub-02,dinov2,40,10,0.138,0.011595018087284054
43,sub-02,dinov2,80,1,0.14,0.0
43,sub-03,cornet-s,1,10,0.03200000000000001,0.019748417658131498
43,sub-03,cornet-s,2,10,0.044,0.011498792207106895
43,sub-03,cornet-s,5,10,0.08099999999999999,0.011737877907772674
43,sub-03,cornet-s,10,10,0.1105,0.019783550967631895
43,sub-03,cornet-s,20,10,0.1355,0.018325756009871276
43,sub-03,cornet-s,40,10,0.145,0.014719601443879743
43,sub-03,cornet-s,80,1,0.145,0.0
43,sub-03,dinov2,1,10,0.041499999999999995,0.015101508386765728
43,sub-03,dinov2,2,10,0.0645,0.014230249470757706
43,sub-03,dinov2,5,10,0.101,0.014681810363696826
43,sub-03,dinov2,10,10,0.1305,0.020062402647738876
43,sub-03,dinov2,20,10,0.1505,0.023386843404881397
43,sub-03,dinov2,40,10,0.1605,0.012349089035228475
43,sub-03,dinov2,80,1,0.185,0.0
43,sub-04,cornet-s,1,10,0.0345,0.011413929112175954
43,sub-04,cornet-s,2,10,0.0495,0.012572014777097405
43,sub-04,cornet-s,5,10,0.0905,0.018922355972646628
43,sub-04,cornet-s,10,10,0.10900000000000001,0.012427567921538166
43,sub-04,cornet-s,20,10,0.138,0.015129074290546957
43,sub-04,cornet-s,40,10,0.1605,0.011167910378500637
43,sub-04,cornet-s,80,1,0.175,0.0
43,sub-04,dinov2,1,10,0.040999999999999995,0.012866839377079187
43,sub-04,dinov2,2,10,0.05550000000000001,0.010124228365658293
43,sub-04,dinov2,5,10,0.11000000000000001,0.01433720877840438
43,sub-04,dinov2,10,10,0.12200000000000003,0.016699966733167135
43,sub-04,dinov2,20,10,0.16250000000000003,0.015500896031448556
43,sub-04,dinov2,40,10,0.17700000000000002,0.011595018087284057
43,sub-04,dinov2,80,1,0.19,0.0
43,sub-05,cornet-s,1,10,0.027000000000000003,0.010327955589886445
43,sub-05,cornet-s,2,10,0.028999999999999998,0.010488088481701515
43,sub-05,cornet-s,5,10,0.05,0.010540925533894598
43,sub-05,cornet-s,10,10,0.0495,0.016236105170610072
43,sub-05,cornet-s,20,10,0.06949999999999999,0.007975657409336933
43,sub-05,cornet-s,40,10,0.0685,0.005797509043642029
43,sub-05,cornet-s,80,1,0.07,0.0
43,sub-05,dinov2,1,10,0.033,0.011595018087284059
43,sub-05,dinov2,2,10,0.047,0.013581032524975577
43,sub-05,dinov2,5,10,0.07650000000000001,0.013550317749451897
43,sub-05,dinov2,10,10,0.10800000000000001,0.02057506581601462
43,sub-05,dinov2,20,10,0.12150000000000001,0.021219749710535647
43,sub-05,dinov2,40,10,0.13200000000000003,0.013784048752090218
43,sub-05,dinov2,80,1,0.135,0.0
43,sub-06,cornet-s,1,10,0.028500000000000004,0.010287532908007309
43,sub-06,cornet-s,2,10,0.053000000000000005,0.015491933384829668
43,sub-06,cornet-s,5,10,0.091,0.01760681686165901
43,sub-06,cornet-s,10,10,0.1085,0.02550054465649269
43,sub-06,cornet-s,20,10,0.14350000000000002,0.019010231163478494
43,sub-06,cornet-s,40,10,0.16299999999999998,0.011105554165971785
43,sub-06,cornet-s,80,1,0.165,0.0
43,sub-06,dinov2,1,10,0.035,0.012692955176439848
43,sub-06,dinov2,2,10,0.06850000000000002,0.01616752575037037
43,sub-06,dinov2,5,10,0.092,0.018135294011647256
43,sub-06,dinov2,10,10,0.1275,0.010865337342004419
43,sub-06,dinov2,20,10,0.15799999999999997,0.013581032524975578
43,sub-06,dinov2,40,10,0.173,0.00788810637746615
43,sub-06,dinov2,80,1,0.185,0.0
43,sub-07,cornet-s,1,10,0.036500000000000005,0.017328524974093377
43,sub-07,cornet-s,2,10,0.053500000000000006,0.014346892811104895
43,sub-07,cornet-s,5,10,0.08349999999999999,0.021219749710535647
43,sub-07,cornet-s,10,10,0.10400000000000001,0.01646545204697129
43,sub-07,cornet-s,20,10,0.1255,0.008644201653259962
43,sub-07,cornet-s,40,10,0.1395,0.012349089035228468
43,sub-07,cornet-s,80,1,0.16,0.0
43,sub-07,dinov2,1,10,0.046,0.01429840705968481
43,sub-07,dinov2,2,10,0.08099999999999999,0.009660917830792959
43,sub-07,dinov2,5,10,0.11399999999999999,0.01807392228230128
43,sub-07,dinov2,10,10,0.129,0.009660917830792959
43,sub-07,dinov2,20,10,0.1505,0.016574746520602427
43,sub-07,dinov2,40,10,0.157,0.008881941729649486
43,sub-07,dinov2,80,1,0.185,0.0
43,sub-08,cornet-s,1,10,0.05,0.012472191289246471
43,sub-08,cornet-s,2,10,0.0615,0.019300259065618785
43,sub-08,cornet-s,5,10,0.10800000000000001,0.01946506842754191
43,sub-08,cornet-s,10,10,0.1355,0.017232076034083773
43,sub-08,cornet-s,20,10,0.15949999999999998,0.019923464669691478
43,sub-08,cornet-s,40,10,0.174,0.014298407059684812
43,sub-08,cornet-s,80,1,0.195,0.0
43,sub-08,dinov2,1,10,0.0505,0.016236105170610072
43,sub-08,dinov2,2,10,0.07749999999999999,0.01620185174601965
43,sub-08,dinov2,5,10,0.12649999999999997,0.017328524974093373
43,sub-08,dinov2,10,10,0.14799999999999996,0.01843908891458577
43,sub-08,dinov2,20,10,0.175,0.020682789409984755
43,sub-08,dinov2,40,10,0.183,0.009189365834726817
43,sub-08,dinov2,80,1,0.185,0.0
43,sub-09,cornet-s,1,10,0.021500000000000002,0.01055409346599171
43,sub-09,cornet-s,2,10,0.0355,0.009559753599799992
43,sub-09,cornet-s,5,10,0.06899999999999999,0.013703203194062978
43,sub-09,cornet-s,10,10,0.10800000000000001,0.01932183566158592
43,sub-09,cornet-s,20,10,0.124,0.011498792207106898
43,sub-09,cornet-s,40,10,0.1595,0.013426756040748554
43,sub-09,cornet-s,80,1,0.185,0.0
43,sub-09,dinov2,1,10,0.025500000000000002,0.00864420165325996
43,sub-09,dinov2,2,10,0.0485,0.01528434202414717
43,sub-09,dinov2,5,10,0.078,0.023475755815545344
43,sub-09,dinov2,10,10,0.09949999999999999,0.015714466088430887
43,sub-09,dinov2,20,10,0.12699999999999997,0.020575065816014614
43,sub-09,dinov2,40,10,0.135,0.013944333775567926
43,sub-09,dinov2,80,1,0.14,0.0
43,sub-10,cornet-s,1,10,0.047,0.008563488385776754
43,sub-10,cornet-s,2,10,0.07350000000000001,0.020145305491189095
43,sub-10,cornet-s,5,10,0.093,0.01398411797560202
43,sub-10,cornet-s,10,10,0.146,0.01595131481867387
43,sub-10,cornet-s,20,10,0.16349999999999998,0.015284342024147166
43,sub-10,cornet-s,40,10,0.173,0.008563488385776748
43,sub-10,cornet-s,80,1,0.185,0.0
43,sub-10,dinov2,1,10,0.05700000000000001,0.017981471945681567
43,sub-10,dinov2,2,10,0.06699999999999999,0.014181364924121764
43,sub-10,dinov2,5,10,0.11000000000000001,0.017320508075688777
43,sub-10,dinov2,10,10,0.14150000000000001,0.016338434577536625
43,sub-10,dinov2,20,10,0.171,0.012427567921538164
43,sub-10,dinov2,40,10,0.189,0.010749676997731404
43,sub-10,dinov2,80,1,0.21,0.0
71,sub-01,cornet-s,1,10,0.0315,0.013133925536563697
71,sub-01,cornet-s,2,10,0.040499999999999994,0.016741498671796914
71,sub-01,cornet-s,5,10,0.08199999999999999,0.012292725943057184
71,sub-01,cornet-s,10,10,0.1065,0.01826502425706331
71,sub-01,cornet-s,20,10,0.1425,0.012304019216861167
71,sub-01,cornet-s,40,10,0.1685,0.020145305491189088
71,sub-01,cornet-s,80,1,0.205,0.0
71,sub-01,dinov2,1,10,0.027500000000000004,0.009204467514322717
71,sub-01,dinov2,2,10,0.033,0.013581032524975577
71,sub-01,dinov2,5,10,0.06399999999999999,0.00966091783079296
71,sub-01,dinov2,10,10,0.07250000000000001,0.015500896031448563
71,sub-01,dinov2,20,10,0.0995,0.014033689623347256
71,sub-01,dinov2,40,10,0.11200000000000002,0.019888578520235064
71,sub-01,dinov2,80,1,0.115,0.0
71,sub-02,cornet-s,1,10,0.028000000000000004,0.014375905768565216
71,sub-02,cornet-s,2,10,0.039,0.014681810363696828
71,sub-02,cornet-s,5,10,0.073,0.017191729277636836
71,sub-02,cornet-s,10,10,0.08549999999999999,0.022292250771163605
71,sub-02,cornet-s,20,10,0.11600000000000002,0.016633299933166205
71,sub-02,cornet-s,40,10,0.1335,0.01841647812874836
71,sub-02,cornet-s,80,1,0.14,0.0
71,sub-02,dinov2,1,10,0.0165,0.007090682462060883
71,sub-02,dinov2,2,10,0.030000000000000006,0.008819171036881969
71,sub-02,dinov2,5,10,0.046000000000000006,0.008755950357709132
