seed,participant,semantic_source,s0_reference_mean,s2_reference_mean,s2_minus_s0,s2_retained,s3_reference_mean,s3_minus_s2,s3_retained
43,sub-06,dinov2,0.032044284875106306,0.06118552565822352,0.029141240783117216,True,0.06656748380195866,0.005381958143735141,True
43,sub-07,cornet-s,0.02370043048651113,0.03579153405753264,0.012091103571021507,True,0.03972180576378478,0.003930271706252139,True
43,sub-07,dinov2,0.029079867960756466,0.06184955767730169,0.03276968971654523,True,0.06414796987471176,0.002298412197410067,True
43,sub-08,cornet-s,0.028900790832653848,0.04866996326398204,0.019769172431328193,True,0.05592609397055858,0.00725613070657654,True
43,sub-08,dinov2,0.03264672488317245,0.08421962264481793,0.05157289776164548,True,0.08833138255433687,0.004111759909518939,True
43,sub-09,cornet-s,0.01916728039489027,0.027993130627668627,0.008825850232778355,True,0.027993130627668627,0.0,False
43,sub-09,dinov2,0.02237028415616753,0.04933278974547814,0.02696250558931061,True,0.052053030502292714,0.002720240756814575,True
43,sub-10,cornet-s,0.029321961826104494,0.04788307600585672,0.018561114179752227,True,0.0512083870345529,0.0033253110286961818,True
43,sub-10,dinov2,0.038571613316148945,0.08004572275265875,0.04147410943650981,True,0.08004572275265875,0.0,False
71,sub-01,cornet-s,0.022131149337611896,0.03591449889090542,0.013783349553293526,True,0.03591449889090542,0.0,False
71,sub-01,dinov2,0.020497755508210806,0.023218105859351027,0.002720350351140221,True,0.024790894026670878,0.001572788167319851,True
71,sub-02,cornet-s,0.019105359600901303,0.029869166294045957,0.010763806693144654,True,0.03494667140114154,0.005077505107095585,True
